2024/04/09 15:33:03 [error] 21516#21384: *82028 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/post.php?post=93&action=edit HTTP/1.0", upstream: "fastcgi://php", host: "les-mangas-du-bled.local", referrer: "http://les-mangas-du-bled.local/wp-admin/post.php?post=93&action=edit"
2024/04/09 15:33:04 [error] 21516#21384: *82029 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "les-mangas-du-bled.local", referrer: "http://les-mangas-du-bled.local/wp-admin/post.php?post=640&action=elementor"
2024/04/09 15:33:05 [error] 21516#21384: *82030 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "les-mangas-du-bled.local", referrer: "http://les-mangas-du-bled.local/wp-admin/post.php?post=640&action=elementor"
2024/04/09 21:36:35 [error] 21516#21384: *110832 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10014", host: "les-mangas-du-bled.local", referrer: "http://les-mangas-du-bled.local/wp-admin/post.php?post=796&action=elementor"
2024/04/09 22:48:57 [error] 21516#21384: *119469 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10015", host: "les-mangas-du-bled.local", referrer: "http://les-mangas-du-bled.local/wp-admin/post.php?post=81&action=elementor"
2024/04/10 09:15:31 [error] 10280#9572: *23795 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10015", host: "les-mangas-du-bled.local", referrer: "http://les-mangas-du-bled.local/wp-admin/admin.php?page=simply-static-generate"
2024/04/10 09:15:31 [error] 10280#9572: *23996 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10015", host: "les-mangas-du-bled.local", referrer: "http://les-mangas-du-bled.local/wp-admin/admin.php?page=simply-static-generate"
2024/04/10 09:15:31 [error] 10280#9572: *24000 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10015", host: "les-mangas-du-bled.local", referrer: "http://les-mangas-du-bled.local/wp-admin/post.php?post=511&action=elementor"
2024/04/10 09:15:31 [error] 10280#9572: *23831 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10015", host: "les-mangas-du-bled.local", referrer: "http://les-mangas-du-bled.local/wp-admin/admin.php?page=simply-static-generate"
2024/04/10 09:15:31 [error] 10280#9572: *24004 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10015", host: "les-mangas-du-bled.local", referrer: "http://les-mangas-du-bled.local/wp-admin/admin.php?page=simply-static-generate"
